street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
GLENMORE AVE,GLENMORE AVE,NA,317,339,320,342,749,749,34,G00000034,GLENMORE AVE
8 AVE,8 AVE,NA,NA,NA,8,26,191,191,35,G00000035,8 AVE
CENTRAL AVE,CENTRAL AVE,NA,161,167,170,176,831,833,36,G00000036,CENTRAL AVE
3 AVE,3 AVE,NA,151,163,156,170,207,205,37,G00000037,3 AVE
HERKIMER,HERKIMER,NA,223,279,220,276,605,605,38,G00000038,HERKIMER
GARNET,GARNET,NA,21,59,18,54,258,258,39,G00000039,GARNET
E 7,E 7,NA,NA,NA,NA,NA,1037,1037,40,G00000040,E 7
SHERMAN,SHERMAN,NA,1,69,2,70,573,573,41,G00000041,SHERMAN
ATLANTIC AVE,ATLANTIC AVE,NA,NA,NA,1062,1144,113,169,42,G00000042,ATLANTIC AVE
72,72,NA,415,475,416,476,1097,1097,43,G00000043,72
OLD WOOD POINT RD,OLD WOOD POINT RD,NA,NA,NA,NA,NA,410,410,44,G00000044,OLD WOOD POINT RD
SUYDAM,SUYDAM,NA,NA,NA,NA,NA,819,821,45,G00000045,SUYDAM
53,53,NA,1401,1483,1402,1482,1062,1062,46,G00000046,53
86,86,NA,NA,NA,1756,1758,1056,1056,47,G00000047,86
GRAHAM AVE,GRAHAM AVE,NA,179,193,184,200,332,336,48,G00000048,GRAHAM AVE
E 26,E 26,NA,447,475,448,480,1012,1012,49,G00000049,E 26
59,59,NA,NA,NA,NA,NA,160,160,50,G00000050,59
POWERS,POWERS,NA,127,163,128,174,314,318,51,G00000051,POWERS
FLATLANDS 7,FLATLANDS 7,NA,NA,NA,NA,NA,988,988,52,G00000052,FLATLANDS 7
HICKS,HICKS,NA,123,175,124,172,4,4,53,G00000053,HICKS
SCHNECTADY AVE,SCHNECTADY AVE,NA,NA,NA,NA,NA,995,995,54,G00000054,SCHNECTADY AVE
WASHINGTON AVE,WASHINGTON AVE,NA,661,689,688,716,181,180,55,G00000055,WASHINGTON AVE
E 18,E 18,NA,2253,2295,2258,2296,1407,1407,56,G00000056,E 18
LEWIS AVE,LEWIS AVE,NA,243,259,246,258,597,592,57,G00000057,LEWIS AVE
AVE J,AVE J,NA,4801,4823,4802,4824,999,999,58,G00000058,AVE J
E 46,E 46,NA,233,279,234,280,951,945,59,G00000059,E 46
MESEROLE AVE,MESEROLE AVE,NA,129,143,122,136,378,378,60,G00000060,MESEROLE AVE
RADDE PL,RADDE PL,NA,1,33,2,34,711,711,61,G00000061,RADDE PL
AVE H,AVE H,NA,4801,4815,4802,4816,999,999,62,G00000062,AVE H
7 AVE,7 AVE,NA,5401,5425,5402,5424,1093,156,63,G00000063,7 AVE
CLARKSON AVE,CLARKSON AVE,NA,NA,NA,NA,NA,954,953,64,G00000064,CLARKSON AVE
DUMONT AVE,DUMONT AVE,NA,155,179,156,180,963,963,65,G00000065,DUMONT AVE
3 AVE,3 AVE,NA,8911,8921,8912,8922,1081,1081,66,G00000066,3 AVE
86,86,NA,NA,NA,NA,NA,1038,1038,67,G00000067,86
GERRITSEN AVE,GERRITSEN AVE,NA,2045,2083,2046,2084,1001,1005,68,G00000068,GERRITSEN AVE
AVE Q,AVE Q,NA,121,141,122,142,1031,1031,69,G00000069,AVE Q
AVE M,AVE M,NA,NA,NA,NA,NA,989,989,70,G00000070,AVE M
14 AVE,14 AVE,NA,8001,8023,8002,8024,1074,1078,71,G00000071,14 AVE
CANARSIE RD,CANARSIE RD,NA,NA,NA,NA,NA,988,989,72,G00000072,CANARSIE RD
E 8,E 8,NA,455,535,456,542,1023,1023,73,G00000073,E 8
TILDEN AVE,TILDEN AVE,NA,2705,2715,2710,2730,993,1404,74,G00000074,TILDEN AVE
PRESIDENT,PRESIDENT,NA,87,129,90,134,70,71,75,G00000075,PRESIDENT
1,1,NA,333,387,310,370,533,536,76,G00000076,1
AVE J,AVE J,NA,NA,NA,NA,NA,1008,1008,77,G00000077,AVE J
WELDON,WELDON,NA,117,155,118,160,971,975,78,G00000078,WELDON
HEYWARD,HEYWARD,NA,139,191,120,180,440,445,79,G00000079,HEYWARD
PROSPECT AVE,PROSPECT AVE,NA,1213,1237,1214,1246,920,920,80,G00000080,PROSPECT AVE
4 AVE,4 AVE,NA,5701,5721,NA,NA,159,159,81,G00000081,4 AVE
62,62,NA,1601,1679,1600,1690,1059,1059,82,G00000082,62
21 AVE,21 AVE,BAY 27,7601,7623,7602,7622,1057,1057,83,G00000083,21 AVE
CT,CT,NA,225,229,222,230,198,58,84,G00000084,CT
E 51,E 51,NA,NA,NA,NA,NA,1001,1001,85,G00000085,E 51
E 15,E 15,NA,2279,2375,2280,2376,1407,1407,86,G00000086,E 15
E 100,E 100,NA,1201,1279,1202,1280,988,988,87,G00000087,E 100
GRAND AVE,GRAND AVE,NA,NA,NA,NA,NA,193,192,88,G00000088,GRAND AVE
NASSAU AVE,NASSAU AVE,NA,51,65,NA,NA,386,386,89,G00000089,NASSAU AVE
MORGAN AVE,MORGAN AVE,NA,251,263,248,266,417,416,90,G00000090,MORGAN AVE
62,62,NA,1501,1579,1502,1580,1059,1059,91,G00000091,62
SCHNECTADY AVE,SCHNECTADY AVE,NA,NA,NA,NA,NA,999,999,92,G00000092,SCHNECTADY AVE
SCOTT AVE,SCOTT AVE,NA,NA,NA,NA,NA,416,416,93,G00000093,SCOTT AVE
AVE U,AVE U,NA,NA,NA,300,322,1037,1037,94,G00000094,AVE U
FARRAGUT RD,FARRAGUT RD,NA,NA,NA,NA,NA,995,995,95,G00000095,FARRAGUT RD
BKLYN AVE,BKLYN AVE,NA,569,591,570,592,941,940,96,G00000096,BKLYN AVE
MC KINLEY AVE,MC KINLEY AVE,NA,NA,NA,78,84,971,976,97,G00000097,MC KINLEY AVE
FULTON,FULTON,NA,1373,1427,1360,1420,608,605,98,G00000098,FULTON
OCEAN PKWY,OCEAN PKWY,NA,NA,NA,NA,NA,921,921,99,G00000099,OCEAN PKWY
REMSEN AVE,REMSEN AVE,NA,NA,NA,NA,NA,987,990,100,G00000100,REMSEN AVE
DEBEVOISE AVE,DEBEVOISE AVE,NA,117,137,122,142,408,409,101,G00000101,DEBEVOISE AVE
THOMAS BOYLAND,HOPKINSON AVE,NA,91,109,90,104,716,716,102,G00000102,HOPKINSON AVE
ROGERS AVE,ROGERS AVE,NA,1233,1263,1236,1264,1405,1012,103,G00000103,ROGERS AVE
36,36,NA,1123,1131,NA,NA,923,923,104,G00000104,36
E 105,E 105,NA,901,985,902,986,988,988,105,G00000105,E 105
AVE B,AVE B,NA,NA,NA,NA,NA,987,987,106,G00000106,AVE B
VANDYKE,VANDYKE,NA,130,174,141,175,240,240,107,G00000107,VANDYKE
AUTUMN AVE,RAILROAD AVE,NA,687,745,688,746,981,980,108,G00000108,RAILROAD AVE
NEWJERSEY AVE,NEWJERSEY AVE,NA,107,165,114,164,759,753,109,G00000109,NEWJERSEY AVE
E NEW YORK AVE,E NEW YORK AVE,NA,1643,1655,1644,1656,643,745,110,G00000110,E NEW YORK AVE
BERGEN,BERGEN,NA,1023,1087,1016,1086,623,624,111,G00000111,BERGEN
W 12,W 12,NA,1801,1893,1800,1888,1031,1031,112,G00000112,W 12
14 AVE,14 AVE,NA,4201,4223,4202,4224,1063,1063,113,G00000113,14 AVE
3 AVE,3 AVE,NA,121,133,120,138,206,205,114,G00000114,3 AVE
UNION AVE,UNION AVE,NA,NA,NA,302,318,289,297,115,G00000115,UNION AVE
RYERSON WALK,RYERSON WALK,NA,1,57,NA,NA,83,81,116,G00000116,RYERSON WALK
ROCHESTER AVE,ROCHESTER AVE,NA,21,53,22,54,705,704,117,G00000117,ROCHESTER AVE
OCEAN PKWY,OCEAN PKWY,NA,1201,1295,NA,NA,1030,1030,118,G00000118,OCEAN PKWY
FLEET PL,FLEET PL,NA,0,0,0,0,229,229,119,G00000119,FLEET PL
LEXINGTON AVE,LEXINGTON AVE,NA,433,495,410,468,583,585,120,G00000120,LEXINGTON AVE
STATE,STATE,NA,221,257,246,280,23,23,121,G00000121,STATE
E 13,E 13,NA,1901,1983,1902,1984,1006,1006,122,G00000122,E 13
FLATBUSH AVE,FLATBUSH AVE,NA,559,579,556,576,931,931,123,G00000123,FLATBUSH AVE
20,20,NA,607,625,600,612,919,919,124,G00000124,20
AVE N,AVE N,NA,NA,NA,NA,NA,988,988,125,G00000125,AVE N
68,68,NA,1901,1985,1902,1986,1058,1057,126,G00000126,68
SCHNECTADY AVE,SCHNECTADY AVE,NA,255,273,NA,NA,662,662,127,G00000127,SCHNECTADY AVE
AVE T,AVE T,NA,3901,3923,3902,3924,1001,1001,128,G00000128,AVE T
OCEAN PKWY,OCEAN PKWY,NA,181,255,NA,NA,1021,1021,129,G00000129,OCEAN PKWY
CLINTON,CLINTON,NA,49,65,58,76,12,7,130,G00000130,CLINTON
DECATUR,DECATUR,NA,305,373,294,366,620,620,131,G00000131,DECATUR
PROSPECT PL,PROSPECT PL,NA,1211,1291,1216,1300,648,648,132,G00000132,PROSPECT PL
47,47,NA,1215,1269,1214,1268,1410,1410,133,G00000133,47
ATLANTIC AVE,ATLANTIC AVE,NA,NA,NA,2620,2634,753,754,134,G00000134,ATLANTIC AVE
W 8,W 8,NA,1701,1709,1702,1710,1031,1031,135,G00000135,W 8
34,34,NA,191,233,NA,NA,132,133,136,G00000136,34
E 3,E 3,NA,679,741,676,738,1027,1027,137,G00000137,E 3
SCHOLES,SCHOLES,NA,NA,NA,NA,NA,416,416,138,G00000138,SCHOLES
MEADOW,MEADOW,NA,1,39,2,40,417,417,139,G00000139,MEADOW
EVANS,EVANS,NA,11,25,12,22,41,42,140,G00000140,EVANS
ESPLANADE,ESPLANADE,NA,NA,NA,NA,NA,1034,1034,141,G00000141,ESPLANADE
E 84,E 84,NA,1301,1383,1302,1384,989,989,142,G00000142,E 84
STILLWELL AVE,STILLWELL AVE,W 14,NA,NA,NA,NA,1038,1048,143,G00000143,STILLWELL AVE
21 AVE,21 AVE,BAY 27,6001,6023,NA,NA,1058,1058,144,G00000144,21 AVE
MONTGOMERY,MONTGOMERY,NA,NA,NA,NA,NA,677,677,145,G00000145,MONTGOMERY
E 49,E 49,NA,339,409,340,410,951,951,146,G00000146,E 49
DOUGHTY,DOUGHTY,NA,51,61,50,58,1,1,147,G00000147,DOUGHTY
STRAUSS,DOUGLASS,DOUGLASS,1847,1953,1872,1942,728,728,148,G00000148,DOUGLASS
GIRARD,GIRARD,NA,101,199,100,198,1034,1034,149,G00000149,GIRARD
NEW YORK AVE,NEW YORK AVE,NA,NA,NA,NA,NA,625,624,150,G00000150,NEW YORK AVE
INDIA,INDIA,NA,1,27,2,28,360,360,151,G00000151,INDIA
FROST,FROST,NA,1,47,2,48,297,297,152,G00000152,FROST
GLENMORE AVE,GLENMORE AVE,NA,631,655,632,656,779,780,153,G00000153,GLENMORE AVE
GEORGIA AVE,GEORGIA AVE,NA,309,367,310,368,792,792,154,G00000154,GEORGIA AVE
AVE H,AVE H,NA,3901,3923,3902,3924,996,996,155,G00000155,AVE H
COLUMBIA,COLUMBIA,NA,379,381,NA,NA,252,246,156,G00000156,COLUMBIA
E 55,E 55,NA,1715,1759,1716,1760,1001,1001,157,G00000157,E 55
MANHATTAN AVE,MANHATTAN AVE,NA,305,323,312,330,302,306,158,G00000158,MANHATTAN AVE
AVE W,AVE W,NA,NA,NA,NA,NA,1003,1003,159,G00000159,AVE W
ELDERT LN,ELDERT LN,NA,NA,NA,152,186,970,970,160,G00000160,ELDERT LN
BERGEN,BERGEN,NA,2011,2081,2012,2086,641,641,161,G00000161,BERGEN
10 AVE,10 AVE,NA,6700,6724,6701,6725,1068,1068,162,G00000162,10 AVE
E 34,E 34,NA,537,617,538,618,994,994,163,G00000163,E 34
UTICA AVE,UTICA AVE,NA,NA,NA,NA,NA,995,995,164,G00000164,UTICA AVE
BELMONT AVE,BELMONT AVE,NA,895,913,896,914,978,978,165,G00000165,BELMONT AVE
SHEPHERD AVE,SHEPHERD AVE,NA,337,363,336,366,777,777,166,G00000166,SHEPHERD AVE
REEVE PL,REEVE PL,NA,31,61,28,52,920,920,167,G00000167,REEVE PL
E 80,E 80,NA,NA,NA,NA,NA,989,989,168,G00000168,E 80
23 AVE,23 AVE,NA,8601,8671,8602,8666,1050,1051,169,G00000169,23 AVE
ATLANTIC AVE,ATLANTIC AVE,NA,NA,NA,2818,2840,766,766,170,G00000170,ATLANTIC AVE
JAY,JAY,NA,259,269,260,286,38,38,171,G00000171,JAY
SAINT MARKS AVE,SAINT MARKS AVE,NA,1393,1457,1396,1462,638,646,172,G00000172,SAINT MARKS AVE
JEFFERSON AVE,JEFFERSON AVE,NA,271,343,272,344,606,606,173,G00000173,JEFFERSON AVE
CORTELYOU RD,CORTELYOU RD,NA,1,11,2,12,1022,1022,174,G00000174,CORTELYOU RD
UNDERHILL AVE,UNDERHILL AVE,NA,217,239,226,230,192,192,175,G00000175,UNDERHILL AVE
E 16,E 16,NA,801,823,800,826,1406,1406,176,G00000176,E 16
ALBEMARLE RD,ALBEMARLE RD,NA,1301,1325,NA,NA,1019,1019,177,G00000177,ALBEMARLE RD
DUMONT AVE,DUMONT AVE,NA,533,563,542,564,805,805,178,G00000178,DUMONT AVE
90,90,NA,301,367,302,368,1081,1081,179,G00000179,90
16 AVE,16 AVE,NA,7701,7723,7702,7724,1074,1074,180,G00000180,16 AVE
7 AVE,7 AVE,NA,161,171,156,170,566,566,181,G00000181,7 AVE
MYRTLE AVE,MYRTLE AVE,NA,579,597,586,602,83,94,182,G00000182,MYRTLE AVE
NOSTRAND AVE,NOSTRAND AVE,NA,1705,1733,1696,1744,1404,1404,183,G00000183,NOSTRAND AVE
86,86,NA,NA,NA,1464,1484,1077,1077,184,G00000184,86
N 8,N 8,NA,157,195,156,198,280,288,185,G00000185,N 8
4 AVE,4 AVE,NA,NA,NA,378,396,539,523,186,G00000186,4 AVE
BATH AVE,BATH AVE,NA,2401,2423,2402,2424,1050,1050,187,G00000187,BATH AVE
JOHNSON AVE,JOHNSON AVE,NA,243,259,228,246,340,342,188,G00000188,JOHNSON AVE
FULTON,FULTON,NA,1813,1829,1858,1872,703,704,189,G00000189,FULTON
19,19,NA,1,109,2,110,115,115,190,G00000190,19
AVE Q,AVE Q,NA,NA,NA,NA,NA,1001,1001,191,G00000191,AVE Q
RIDGE BLVD,RIDGE BLVD,2 AVE,7701,7721,7702,7724,1413,1099,192,G00000192,RIDGE BLVD
WEIRFIELD,WEIRFIELD,NA,177,233,180,236,905,907,193,G00000193,WEIRFIELD
NARROWS AVE,NARROWS AVE,NA,NA,NA,NA,NA,1083,1083,194,G00000194,NARROWS AVE
70,70,NA,1501,1549,1500,1550,1412,1412,195,G00000195,70
ATLANTIC AVE,ATLANTIC AVE,NA,2767,2783,NA,NA,764,764,196,G00000196,ATLANTIC AVE
FLATLAND AVE,FLATLAND AVE,NA,NA,NA,NA,NA,1008,1001,197,G00000197,FLATLAND AVE
60,60,NA,NA,NA,NA,NA,1059,1059,198,G00000198,60
SHEPHERD AVE,SHEPHERD AVE,NA,NA,NA,752,806,983,983,199,G00000199,SHEPHERD AVE
E 9,E 9,NA,517,563,514,564,1026,1026,200,G00000200,E 9
FLATBUSH AVE,FLATBUSH AVE,NA,581,605,578,604,931,931,201,G00000201,FLATBUSH AVE
65,65,NA,1001,1071,1002,1078,1068,1068,202,G00000202,65
CT,CT,NA,367,383,388,406,217,78,203,G00000203,CT
W 23,W 23,NA,2801,2891,2802,2880,1046,1046,204,G00000204,W 23
KENT AVE,KENT AVE,NA,403,419,404,422,270,270,205,G00000205,KENT AVE
KEAP,KEAP,NA,443,459,432,450,307,308,206,G00000206,KEAP
E 43,E 43,NA,1033,1103,1024,1106,999,999,207,G00000207,E 43
FULTON,FULTON,NA,1035,1055,1004,1016,112,112,208,G00000208,FULTON
E 27,E 27,NA,1301,1385,1302,1386,1008,1008,209,G00000209,E 27
SAINT NICHOLASS AVE,SAINT NICHOLASS AVE,NA,81,101,82,102,864,864,210,G00000210,SAINT NICHOLASS AVE
TILDEN AVE,TILDEN AVE,NA,3401,3423,3400,3422,992,992,211,G00000211,TILDEN AVE
BOERUM,BOERUM,NA,219,291,216,290,421,421,212,G00000212,BOERUM
19 AVE,19 AVE,NA,8401,8417,8402,8422,1054,1055,213,G00000213,19 AVE
BROADWAY,BROADWAY,NA,867,883,872,880,812,517,214,G00000214,BROADWAY
67,67,NA,1201,1279,1202,1280,1070,1070,215,G00000215,67
UTICA AVE,UTICA AVE,NA,NA,NA,NA,NA,1000,1000,216,G00000216,UTICA AVE
KEAP,KEAP,NA,173,233,176,236,436,441,217,G00000217,KEAP
AVE K,AVE K,NA,2301,2317,2302,2318,1008,1008,218,G00000218,AVE K
CORTELYOU RD,CORTELYOU RD,NA,NA,NA,NA,NA,992,992,219,G00000219,CORTELYOU RD
VOORHEES AVE,VOORHEES AVE,NA,2001,2021,2002,2022,1004,1004,221,G00000220,VOORHEES AVE
LIBERTY AVE,LIBERTY AVE,NA,789,815,792,816,974,977,222,G00000221,LIBERTY AVE
MIDWOOD,MIDWOOD,NA,315,379,312,388,940,940,223,G00000222,MIDWOOD
HANCOCK,HANCOCK,NA,1389,1401,1390,1400,NA,NA,224,G00000223,HANCOCK
BKLYN AVE,BKLYN AVE,NA,1767,1849,1768,1850,999,999,225,G00000224,BKLYN AVE
EAST PKWY,EAST PKWY,NA,NA,NA,1814,1844,643,643,226,G00000225,EAST PKWY
AVE J,AVE J,NA,NA,NA,NA,NA,1008,1008,227,G00000226,AVE J
E 89,E 89,NA,739,739,714,742,990,990,228,G00000227,E 89
48,48,NA,401,475,402,476,144,148,229,G00000228,48
80,80,NA,2001,2083,2002,2084,1057,1057,230,G00000229,80
E 88,E 88,NA,701,749,702,750,990,990,231,G00000230,E 88
E 16,E 16,NA,367,413,372,430,1014,1024,232,G00000231,E 16
77,77,NA,1201,1273,1202,1284,1072,1072,233,G00000232,77
ROEBLING,ROEBLING,NA,175,193,180,194,266,265,234,G00000233,ROEBLING
ROGERS AVE,ROGERS AVE,NA,1195,1213,1198,1222,1405,1012,235,G00000234,ROGERS AVE
COLONIAL RD,COLONIAL RD,NA,NA,NA,NA,NA,1099,1099,236,G00000235,COLONIAL RD
SHEPHERD AVE,SHEPHERD AVE,NA,437,471,426,454,777,777,237,G00000236,SHEPHERD AVE
AVE J,AVE J,NA,1801,1823,1804,1820,1008,1008,238,G00000237,AVE J
10 AVE,10 AVE,NA,4601,4623,4602,4624,1089,1089,239,G00000238,10 AVE
E 16,E 16,NA,1701,1781,1702,1798,1007,1007,240,G00000239,E 16
WELLINGTON CT,WELLINGTON CT,NA,15,65,16,66,1406,1406,241,G00000240,WELLINGTON CT
WILSON AVE,HAMBURG AVE,NA,93,107,96,110,845,834,242,G00000241,HAMBURG AVE
DITMAS AVE,DITMAS AVE,NA,901,925,902,936,1023,1026,243,G00000242,DITMAS AVE
S 1,S 1,NA,109,147,108,140,263,263,244,G00000243,S 1
HENRY,HENRY,NA,569,587,554,572,79,75,245,G00000244,HENRY
BRGHTN 3,BRGHTN 3,NA,NA,NA,NA,NA,1035,1035,246,G00000245,BRGHTN 3
PROSPECT PL,PROSPECT PL,NA,797,865,802,876,654,654,247,G00000246,PROSPECT PL
E NEW YORK AVE,E NEW YORK AVE,NA,NA,NA,NA,NA,949,949,248,G00000247,E NEW YORK AVE
MORGAN AVE,MORGAN AVE,NA,647,689,630,686,396,396,249,G00000248,MORGAN AVE
HERKIMER,HERKIMER,NA,869,891,870,892,705,705,250,G00000249,HERKIMER
6 AVE,6 AVE,NA,4901,4923,4902,4922,147,147,251,G00000250,6 AVE
WILLOUGHBY,WILLOUGHBY,NA,95,115,86,104,226,227,252,G00000251,WILLOUGHBY
E 89,E 89,NA,NA,NA,NA,NA,990,990,253,G00000252,E 89
BAY 13,BAY 13,NA,1,81,2,84,1075,1075,254,G00000253,BAY 13
VAN BRUNT,VAN BRUNT,NA,405,419,424,440,240,240,255,G00000254,VAN BRUNT
89,89,NA,17,97,18,98,1083,1082,256,G00000255,89
W 1,W 1,NA,1515,1543,1502,1556,1031,1031,257,G00000256,W 1
BROADWAY,BROADWAY,NA,1389,1391,1390,1392,891,689,258,G00000257,BROADWAY
HENRY,HENRY,NA,493,511,486,500,63,72,259,G00000258,HENRY
WITHERS,WITHERS,NA,211,249,208,244,410,410,260,G00000259,WITHERS
FOSTER AVE,FOSTER AVE,NA,705,715,706,710,1026,1029,261,G00000260,FOSTER AVE
PITKIN AVE,PITKIN AVE,NA,2457,2479,2458,2484,777,777,262,G00000261,PITKIN AVE
AVE Y,AVE Y,NA,NA,NA,NA,NA,1003,1003,263,G00000262,AVE Y
HIGHLAWN AVE,HIGHLAWN AVE,NA,119,143,120,144,1031,1031,264,G00000263,HIGHLAWN AVE
RUTLAND RD,RUTLAND RD,NA,NA,NA,NA,NA,949,954,265,G00000264,RUTLAND RD
GARDNER AVE,GARDNER AVE,NA,NA,NA,NA,NA,416,416,266,G00000265,GARDNER AVE
GLENWOOD RD,GLENWOOD RD,NA,5201,5223,5204,5224,995,999,267,G00000266,GLENWOOD RD
52,52,NA,1101,1169,1102,1170,1067,1067,268,G00000267,52
86,86,NA,NA,NA,NA,NA,1038,1038,269,G00000268,86
PENNSYLVAN AVE,PENNSYLVAN AVE,NA,283,329,286,332,792,792,270,G00000269,PENNSYLVAN AVE
FLATLAND AVE,FLATLAND AVE,NA,9201,9229,NA,NA,987,987,271,G00000270,FLATLAND AVE
7 AVE,7 AVE,NA,6401,6423,6402,6418,1087,1096,272,G00000271,7 AVE
NASSAU AVE,NASSAU AVE,NA,169,183,168,180,393,393,273,G00000272,NASSAU AVE
GLENMORE AVE,GLENMORE AVE,NA,823,837,816,836,977,977,274,G00000273,GLENMORE AVE
COLLEGE PL,COLLEGE PL,NA,1,35,2,36,4,4,275,G00000274,COLLEGE PL
BRG,BRG,NA,295,327,294,328,226,40,276,G00000275,BRG
MIDDLETON,MIDDLETON,NA,59,103,48,94,446,447,277,G00000276,MIDDLETON
BAYARD,BAYARD,NA,85,123,88,126,405,404,278,G00000277,BAYARD
WYTHE AVE,WYTHE AVE,NA,221,235,252,268,284,283,279,G00000278,WYTHE AVE
5 AVE,5 AVE,NA,8825,8923,8902,8924,1080,1080,280,G00000279,5 AVE
LUQUER,LUQUER,NA,207,215,188,210,259,259,281,G00000280,LUQUER
WYTHE AVE,WYTHE AVE,NA,375,389,408,424,269,269,282,G00000281,WYTHE AVE
WYCKOFF AVE,WYCKOFF AVE,NA,1,21,2,32,865,865,283,G00000282,WYCKOFF AVE
E 18,E 18,NA,1715,1785,1716,1786,1007,1007,284,G00000283,E 18
E 24,MANSFIELD PL,NA,1483,1497,1480,1500,1008,1008,285,G00000284,MANSFIELD PL
LORIMER,LORIMER,NA,525,547,526,548,309,311,286,G00000285,LORIMER
8 AVE,8 AVE,NA,4401,4425,4402,4424,146,146,287,G00000286,8 AVE
VERMONT,VERMONT,NA,309,353,310,358,757,757,288,G00000287,VERMONT
7 AVE,7 AVE,NA,7,19,8,24,176,176,289,G00000288,7 AVE
SCHOLES,SCHOLES,NA,81,117,80,114,331,332,290,G00000289,SCHOLES
DIVISION AVE,DIVISION AVE,NA,225,239,200,224,274,436,291,G00000290,DIVISION AVE
EMPIRE BLVD,MALBONE,NA,775,857,776,858,679,679,292,G00000291,MALBONE
HEGEMAN AVE,HEGEMAN AVE,NA,635,657,636,658,808,985,293,G00000292,HEGEMAN AVE
ATLANTIC AVE,ATLANTIC AVE,NA,2719,2743,NA,NA,760,760,294,G00000293,ATLANTIC AVE
CONEY IS AVE,CONEY IS AVE,NA,NA,NA,NA,NA,1407,1037,295,G00000294,CONEY IS AVE
RALPH AVE,RALPH AVE,NA,0,0,0,0,708,705,296,G00000295,RALPH AVE
79,79,NA,2001,2075,2002,2084,1057,1057,297,G00000296,79
E 19,E 19,NA,209,295,200,272,1018,1018,298,G00000297,E 19
BAINBRIDGE,BAINBRIDGE,NA,277,351,278,356,700,700,299,G00000298,BAINBRIDGE
LEXINGTON AVE,LEXINGTON AVE,NA,69,125,66,118,105,109,300,G00000299,LEXINGTON AVE
BRADFORD,BRADFORD,NA,137,177,138,178,760,760,301,G00000300,BRADFORD
WASHINGTON AVE,WASHINGTON AVE,NA,393,461,406,480,108,474,302,G00000301,WASHINGTON AVE
NOSTRAND AVE,NOSTRAND AVE,NA,553,573,584,610,624,623,303,G00000302,NOSTRAND AVE
